"cjMax","cjMin","avCj1","cjRange","deviceUse","education","sample","gender","age","algor1Choice","resolution","resolution2","correctInitial","correctFinal","meanDotRT","meanAdvisor1Sway","meanAdvisor2Sway","algor1Agreed","algor2Agreed","ctcTime","preferenceStrength","quantAdvisor1","quantAdvisor2","quantAdvisor3","quantAdvisor4","quantCorrect1","quantCorrect2","quantCorrect3","quantCorrect4","finalDD","rocAUC1","rocAUC2","algor2Influence","algor1TrustQ","algor2TrustQ","resolution2Adv1","resolution2Adv2","meanAdviceSway","advisorSwaps","meanChoiceCj1",
41,6,21.5667,35,8,3,"A","F",19,1,0.065452,2.9833,0.65833,0.7,1.4466,2.404,0.33333,0.65657,0.66667,2.7108,50,1,1,1,1,0.67742,0.66667,0.56522,0.7,4,0.56002,0.62045,-1.869,14,10,2.5238,4.775,4.6583,0,20.9375,
35,2,15.9167,33,9,5,"A","M",33,0.75,0.64103,4.6538,0.65,0.68333,2.2617,3.1,2.975,0.775,0.75,4.168,25,0.69565,0.78261,0.77778,0.75,0.625,0.73333,0.72727,0.48,3,0.35748,0.6745,-4.6869,16,15,5.2159,3.4662,7.525,27,15.325,
47,1,27.4917,46,5,6,"A","F",22,0.8625,2.491,8.9236,0.68333,0.69167,1.0297,2.1839,2.6667,0.6092,0.54545,2.6486,36.25,0.78261,0.75,1,0.89474,0.65625,0.60714,0.75,0.71429,15,0.57561,0.62681,-20.8115,16,8,14.8944,6.1364,10.6333,16,27.175,
43,1,11.8167,42,10,3,"A","F",18,0.925,3.4862,7.7037,0.69167,0.73333,1.5024,0.43333,3.2333,0.82222,0.83333,2.7819,42.5,0.90476,0.81818,1,1,0.45161,0.86486,0.56,0.85185,10,0.60679,0.5819,-1.6905,15,10,8.1767,6.4258,9.0833,12,12.6875,
50,3,28.25,47,9,3,"A","F",19,0.775,0.72917,1.8403,0.6,0.59167,1.8941,0.15,2.95,0.7,0.675,3.227,27.5,0.7619,0.86364,0.70588,0.75,0.5625,0.52941,0.58333,0.73333,4,0.67047,0.61429,6.5985,9,9,2.52,0.030303,13.5333,23,28.325,
40,1,14.6083,39,15,3,"A","F",18,0.8875,3.0758,5.3649,0.75833,0.76667,1.5649,1.4719,0.70968,0.7191,0.51613,2.8111,38.75,0.84,0.84615,0.88,1,0.66667,0.90909,0.67647,0.88,11,0.65776,0.67538,-21.2693,16,9,5.9362,4.0595,4.4583,16,14.8375,
50,1,33.4167,49,4,3,"A","F",18,0.2125,0.95089,9.2268,0.725,0.73333,1.2614,1.1818,6.1579,0.59091,0.81579,2.787,28.75,0.2381,0.16667,0.17391,0.27778,0.64706,0.7931,0.67742,0.80769,12,0.61221,0.47984,28.6862,15,10,10.3683,9.7019,19.35,24,33.675,
41,2,21.9583,39,8,3,"A","F",18,0.9375,1.078,8.5482,0.80833,0.80833,1.0736,3.4409,0.81481,0.74194,0.66667,2.5312,43.75,0.95652,0.95238,0.84211,1,0.76667,0.89189,0.73077,0.81481,11,0.65664,0.54456,11.6488,15,10,7.5425,12.9444,12.5667,10,21.5,
47,1,24.1417,46,4,3,"A","F",19,0.7625,9.0057,14.9886,0.85833,0.925,1.7134,0.28395,2.1795,0.75309,0.71795,3.4526,26.25,0.52941,0.79167,0.75,0.94737,0.73333,0.80645,0.96552,0.93333,12,0.54446,0.55196,-11.4964,16,9,18.1993,7.8824,7.3667,13,24.375,
49,1,19.5833,48,10,3,"A","F",19,0.9875,11.7443,13.4182,0.775,0.8,2.8173,1.8316,2.28,0.86316,0.8,3.8244,48.75,0.94118,1,1,1,0.5625,0.72414,0.86207,0.96667,9,0.68783,0.66667,-10.5625,15,8,12.843,15.2719,8.1917,2,20.675,
50,1,20.0417,49,4,3,"A","F",19,0.9625,5.8429,10.3254,0.65833,0.75833,2.0955,4.9694,1.5455,0.87755,0.81818,3.1696,46.25,0.88889,1,1,0.94444,0.5,0.64516,0.71875,0.8,6,0.46644,0.41938,-5.597,15,11,9.5484,17.0588,8.1417,6,21.0125,
49,5,28.0667,44,8,3,"A","M",18,0.35,7.4105,11.4442,0.79167,0.85,1.7244,3.4151,0.25373,0.81132,0.67164,2.6704,15,0.8,0.33333,0.21739,0.052632,0.66667,0.74194,0.82759,0.93333,10,0.58587,0.61007,6.2222,11,13,6.7772,12.3,9.2667,30,28.4625,
21,2,7.5083,19,8,5,"A","F",29,0.7125,1.2903,6.5165,0.60833,0.675,1.1422,4.7532,2.0233,0.75325,0.65116,2.322,21.25,0.72727,0.66667,0.71429,0.7,0.54902,0.6,0.53125,0.81481,5,0.63072,0.55669,-1.901,8,8,6.4351,5.7619,5.925,15,7.5125,
42,3,20.0417,39,5,3,"A","F",18,0.85,2.5549,8.793,0.65,0.71667,1.5431,3.0909,3.9375,0.59091,0.78125,3.428,35,0.88889,0.89286,0.75,0.83333,0.59375,0.61111,0.69565,0.72414,4,0.52239,0.46913,-5.1172,14,12,8.7768,8.8686,10.25,22,20.5125,
43,1,10.375,42,7,2,"A","M",32,0.45,4.2165,2.3385,0.63333,0.66667,4.6734,1.6727,3.0462,0.65455,0.69231,4.3525,5,0.42308,0.5,0.42105,0.47826,0.5,0.45,0.77419,0.7931,15,0.49444,0.52472,2.262,12,12,0.65064,3.6081,7.4167,36,11.4,
46,1,20.9833,45,7,7,"A","F",29,0.9125,5.9351,12.5686,0.81667,0.83333,1.4198,2.25,1.4583,0.79167,0.79167,3.2762,41.25,0.86957,0.75,1,1,0.73529,0.74074,0.86667,0.93103,9,0.64629,0.61804,-7.7814,15,11,12.9605,9.0252,7.5583,9,20.9375,
