"blk4Cor1Acc","blk4Cor2Acc","blk4Resolution","blk4Resolution2","blk4Resolution2Adv1","blk4Resolution2Adv2","blk4AverageCj1","adv1Agreed","adv2Agreed","agreedDiff","res2Diff","blk4MeanAdvisor1Sway","blk4MeanAdvisor2Sway","swayDiff","blk4AdviceSway","blk4AdviceSway1Diff","blk4AdviceSway2Diff",
0.63333,0.65,0.83254,3.2129,7.1818,0.75598,19.3,0.53333,0.4,-0.13333,-6.4258,2.5333,3.8333,1.3,5.8167,0,-0.16667,
0.58333,0.55,0.82286,2.8571,2.9722,2.6561,16,0.56667,0.53333,-0.033333,-0.31611,3.9333,4.0667,0.13333,4.2,-0.13333,-0.066667,
0.71667,0.71667,0.20246,3.5787,3,3.45,19.7333,0.66667,0.76667,0.1,0.45,4,3.8667,-0.13333,6.7,0.066667,-0.26667,
0.73333,0.71667,4.7045,7.1989,5.2885,6.2778,9.95,0.7,0.56667,-0.13333,0.98932,8.6333,5.3667,-3.2667,7.4667,0,-0.16667,
0.61667,0.68333,3.7145,9.2397,8.3333,10.0287,26.1167,0.56667,0.6,0.033333,1.6954,4.9667,6.5667,1.6,8.2333,-0.16667,0.066667,
0.7,0.76667,8.2381,9.4762,12.4921,6.4603,16.2667,0.46667,0.6,0.13333,-6.0317,3.6,1.4667,-2.1333,3.7333,0.46667,0,
0.78333,0.71667,10.054,13.4075,10.5227,16.68,32.1833,0.63333,0.6,-0.033333,6.1573,5.9,7.6,1.7,11.8833,0,0,
0.68333,0.75,3.5481,12.3107,6.3016,18.1,16.2667,0.66667,0.56667,-0.1,11.7984,8.9,14.6333,5.7333,12.3,-0.36667,-0.2,
0.85,0.88333,4.3595,13.1242,15.8077,11.12,17.4833,0.56667,0.66667,0.1,-4.6877,6.3,7.3333,1.0333,7.2833,0.53333,0.23333,
0.71667,0.78333,10.9275,12.6785,13.9432,10.9206,18.0667,0.63333,0.46667,-0.16667,-3.0225,15.7667,3.7,-12.0667,11.2667,0.93333,-1.3667,
