"cjMax","cjMin","avCj1","cjRange","deviceUse","education","sample","gender","age","algor1Choice","algor2Choice","resolution","resolution2","correctInitial","correctFinal","meanDotRT","meanAdvisor1Sway","meanAdvisor2Sway","algor1Agreed","algor2Agreed","ctcTime","preferenceStrength","meanAlgor1AgreeConfDiff","meanAlgor1DisagreeConfDiff","meanAlgor2AgreeConfDiff","meanAlgor2DisagreeConfDiff","quantAdvisor1","quantAdvisor2","quantAdvisor3","quantAdvisor4","quantCorrect1","quantCorrect2","quantCorrect3","quantCorrect4","finalDD","rocAUC1","algor2Influence","algor1TrustQ","algor2TrustQ","resolution2Adv1","resolution2Adv2","advisorSwaps","meanAdviceSway","meanChoiceCj1","Az","fc","Az2","fc2","advisorSettleTrial","algor1ChoiceBeforeSettle","correctInitialBeforeSettle","cj1ChoiceBeforeSettle","cj2ChoiceBeforeSettle",
41,6,21.5667,35,8,3,"A","F",19,1,0,0.065452,2.9833,0.65833,0.7,1.4466,2.404,0.33333,0.65657,0.66667,2.7108,50,-0.083333,-8.2857,0.66667,-5.6667,1,1,1,1,0.67742,0.66667,0.56522,0.7,4,0.51235,-1.869,14,10,2.5238,4.775,0,4.6583,20.9375,0.4912,0.55928,0.58829,0.59524,1,1,1,20,27,
35,2,15.9167,33,9,5,"A","M",33,0.75,0.25,0.64103,4.6538,0.65,0.68333,2.2617,3.1,2.975,0.775,0.75,4.168,25,4.0909,-13.6667,2.1818,-10.8889,0.69565,0.78261,0.77778,0.75,0.625,0.73333,0.72727,0.48,3,0.52793,-4.6869,16,15,5.2159,3.4662,27,7.525,15.325,0.47466,0.54121,0.61008,0.6043,79,0.53165,0.4557,14.8302,12.566,
47,1,27.4917,46,5,6,"A","F",22,0.8625,0.1375,2.491,8.9236,0.68333,0.69167,1.0297,2.1839,2.6667,0.6092,0.54545,2.6486,36.25,12.7778,-14.4444,1.7857,-4.625,0.78261,0.75,1,0.89474,0.65625,0.60714,0.75,0.71429,15,0.5568,-20.8115,16,8,14.8944,6.1364,16,10.6333,27.175,0.55712,0.57189,0.62292,0.62455,80,0.5625,0.4875,26.1636,27.5636,
43,1,11.8167,42,10,3,"A","F",18,0.925,0.075,3.4862,7.7037,0.69167,0.73333,1.5024,0.43333,3.2333,0.82222,0.83333,2.7819,42.5,2.7143,-15.3333,6.8571,-9.5,0.90476,0.81818,1,1,0.45161,0.86486,0.56,0.85185,10,0.60876,-1.6905,15,10,8.1767,6.4258,12,9.0833,12.6875,0.60241,0.64539,0.77237,0.75284,80,0.65,0.4375,13.6667,14.5185,
50,3,28.25,47,9,3,"A","F",19,0.775,0.225,0.72917,1.8403,0.6,0.59167,1.8941,0.15,2.95,0.7,0.675,3.227,27.5,-5.625,-17.3,-0.11111,-18.3846,0.7619,0.86364,0.70588,0.75,0.5625,0.52941,0.58333,0.73333,4,0.54528,6.5985,9,9,2.52,0.030303,23,13.5333,28.325,0.5463,0.58681,0.66858,0.65047,80,0.5375,0.4125,28.4737,29.193,
40,1,14.6083,39,15,3,"A","F",18,0.8875,0.1125,3.0758,5.3649,0.75833,0.76667,1.5649,1.4719,0.70968,0.7191,0.51613,2.8111,38.75,4.5455,-7.5714,-5.8667,3.2857,0.84,0.84615,0.88,1,0.66667,0.90909,0.67647,0.88,11,0.62069,-21.2693,16,9,5.9362,4.0595,16,4.4583,14.8375,0.62221,0.64172,0.64829,0.63276,80,0.6125,0.5,16.2692,17.5192,
50,1,33.4167,49,4,3,"A","F",18,0.2125,0.7875,0.95089,9.2268,0.725,0.73333,1.2614,1.1818,6.1579,0.59091,0.81579,2.787,28.75,7.1429,-8.6154,11,-33.4444,0.2381,0.16667,0.17391,0.27778,0.64706,0.7931,0.67742,0.80769,12,0.54406,28.6862,15,10,10.3683,9.7019,24,19.35,33.675,0.54441,0.56792,0.74148,0.72869,76,0.13158,0.42105,35.7447,40.0851,
41,2,21.9583,39,8,3,"A","F",18,0.9375,0.0625,1.078,8.5482,0.80833,0.80833,1.0736,3.4409,0.81481,0.74194,0.66667,2.5312,43.75,2.1667,-20.6667,14.3571,-20.125,0.95652,0.95238,0.84211,1,0.76667,0.89189,0.73077,0.81481,11,0.50807,11.6488,15,10,7.5425,12.9444,10,12.5667,21.5,0.5065,0.57777,0.63693,0.64097,50,0.58,0.5,21.2424,19.1515,
47,1,24.1417,46,4,3,"A","F",19,0.7625,0.2375,9.0057,14.9886,0.85833,0.925,1.7134,0.28395,2.1795,0.75309,0.71795,3.4526,26.25,6.9091,-14.7778,4.8571,-5.3333,0.52941,0.79167,0.75,0.94737,0.73333,0.80645,0.96552,0.93333,12,0.72244,-11.4964,16,9,18.1993,7.8824,13,7.3667,24.375,0.7253,0.7273,0.68068,0.68769,30,0.26667,0.73333,20.913,21.8696,
49,1,19.5833,48,10,3,"A","F",19,0.9875,0.0125,11.7443,13.4182,0.775,0.8,2.8173,1.8316,2.28,0.86316,0.8,3.8244,48.75,3.5,-16,0.0625,-8.875,0.94118,1,1,1,0.5625,0.72414,0.86207,0.96667,9,0.75687,-10.5625,15,8,12.843,15.2719,2,8.1917,20.675,0.76304,0.78674,0.76562,0.72917,30,0.66667,0.5,20.55,21,
